Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------
| Tool Version              : Vivado v.2021.1_AR76722 (lin64) Build 3428450 Thu Jan 13 11:43:02 MST 2022
| Date                      : Sun Apr  9 23:50:36 2023
| Host                      : ws35 running 64-bit CentOS Linux release 7.9.2009 (Core)
| Command                   : report_io -file pinloc.txt
| Design                    : FB1_uC
| Device                    : xcvu19p
| Speed File                : -1
| Package                   : fsva3824
| Package Version           : PRODUCTION 1.3 11/27/2019
| Package Pin Delay Version : PRODUCTION 1.0 3/20/2019
---------------------------------------------------------------------------------------------------------

IO Information

Table of Contents
-----------------
1. Summary
2. IO Assignments by Package Pin

1. Summary
----------

+---------------+
| Total User IO |
+---------------+
|           426 |
+---------------+


2. IO Assignments by Package Pin
--------------------------------

+------------+----------------------------+------------------+------------------------------------+------------+---------------+-----------------+---------+------------+-------------------------+------+-------------------+----------------------+-----------+------------+-----------+----------+----------+------------------+--------------+-------------------+--------------+
| Pin Number | Signal Name                | Bank Type        | Pin Name                           | SLR Region | Use           | IO Standard     | IO Bank | Drive (mA) | Output Impedance (ohms) | Slew | Input Termination | Off-Chip Termination |   Voltage | Constraint | Pull Type | DQS Bias | Vref     | Signal Integrity | Pre Emphasis | Lvds Pre Emphasis | Equalization |
| BN11       |                            |                  | MGTREFCLK1P_222                    | 0          | Gigabit       |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN12       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BN13       | WRWB[0]                    | High Performance | IO_L16N_T2U_N7_QBC_AD3N_60         | 0          | INPUT         | POD12_DCI       |      60 |            |                         |      |            60 Ohm |                 NONE |           | FIXED      |           |          | Internal | SINGLE           | RDRV_NONE    |                   | EQ_NONE      |
| BN14       | WRWB[1]                    | High Performance | IO_L16P_T2U_N6_QBC_AD3P_60         | 0          | INPUT         | POD12_DCI       |      60 |            |                         |      |            60 Ohm |                 NONE |           | FIXED      |           |          | Internal | SINGLE           | RDRV_NONE    |                   | EQ_NONE      |
| BN15       | WRWB[4]                    | High Performance | IO_L13N_T2L_N1_GC_QBC_60           | 0          | INPUT         | POD12_DCI       |      60 |            |                         |      |            60 Ohm |                 NONE |           | FIXED      |           |          | Internal | SINGLE           | RDRV_NONE    |                   | EQ_NONE      |
| BN16       | ALUOUTMEM_aptn_s[62]       | High Performance | IO_L13P_T2L_N0_GC_QBC_60           | 0          | OUTPUT        | POD12_DCI       |      60 |            |                      40 | SLOW |                   |           FP_VCCO_50 |           | FIXED      |           |          |          | SINGLE           | RDRV_NONE    |                   | EQ_NONE      |
| BN17       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BN18       | cpm_s_HSTDM_4_FB1_C2_C_6   | High Performance | IO_L8P_T1L_N2_AD5P_60              | 0          | OUTPUT        | POD12_DCI       |      60 |            |                      40 | FAST |                   |           FP_VCCO_50 |           | FIXED      |           |          |          | SINGLE           | RDRV_240     |                   | EQ_NONE      |
| BN19       |                            | High Performance | IO_L7N_T1L_N1_QBC_AD13N_61         | 0          | User IO       |                 |      61 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN20       |                            | High Performance | IO_L10N_T1U_N7_QBC_AD4N_61         | 0          | User IO       |                 |      61 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN21       |                            | High Performance | IO_L10P_T1U_N6_QBC_AD4P_61         | 0          | User IO       |                 |      61 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN22       |                            | High Performance | VCCO_61                            |            | VCCO          |                 |      61 |            |                         |      |                   |                      | 0.00-1.80 |            |           |          |          |                  |              |                   |              |
| BN23       |                            | High Performance | IO_L8P_T1L_N2_AD5P_61              | 0          | User IO       |                 |      61 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN24       |                            | High Performance | IO_L7N_T1L_N1_QBC_AD13N_62         | 0          | User IO       |                 |      62 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN25       |                            | High Performance | IO_L9P_T1L_N4_AD12P_62             | 0          | User IO       |                 |      62 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN26       |                            | High Performance | IO_L12P_T1U_N10_GC_62              | 0          | GCLK          |                 |      62 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN27       |                            | High Performance | VCCO_62                            |            | VCCO          |                 |      62 |            |                         |      |                   |                      | 0.00-1.80 |            |           |          |          |                  |              |                   |              |
| BN28       |                            | High Performance | IO_L8N_T1L_N3_AD5N_62              | 0          | User IO       |                 |      62 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN29       |                            | High Performance | IO_L10N_T1U_N7_QBC_AD4N_62         | 0          | User IO       |                 |      62 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN30       |                            | High Performance | IO_L9N_T1L_N5_AD12N_64             | 1          | User IO       |                 |      64 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN31       |                            | High Performance | IO_L9P_T1L_N4_AD12P_64             | 1          | User IO       |                 |      64 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN32       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BN33       |                            | High Performance | IO_L8N_T1L_N3_AD5N_64              | 1          | User IO       |                 |      64 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN34       |                            | High Performance | IO_L8P_T1L_N2_AD5P_64              | 1          | User IO       |                 |      64 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN35       |                            | High Performance | IO_L9P_T1L_N4_AD12P_66             | 1          | User IO       |                 |      66 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN36       |                            | High Performance | IO_L9N_T1L_N5_AD12N_66             | 1          | User IO       |                 |      66 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN37       |                            | High Performance | VCCO_66                            |            | VCCO          |                 |      66 |            |                         |      |                   |                      | 0.00-1.80 |            |           |          |          |                  |              |                   |              |
| BN38       |                            | High Performance | IO_L15P_T2L_N4_AD11P_66            | 1          | User IO       |                 |      66 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN39       |                            | High Performance | IO_L15N_T2L_N5_AD11N_66            | 1          | User IO       |                 |      66 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN40       |                            | High Performance | IO_L17P_T2U_N8_AD10P_66            | 1          | User IO       |                 |      66 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN41       |                            | High Performance | IO_L16P_T2U_N6_QBC_AD3P_66         | 1          | User IO       |                 |      66 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN42       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BN43       |                            | High Performance | IO_L12N_T1U_N11_GC_20              | 0          | GCLK          |                 |      20 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN44       |                            | High Performance | IO_L11N_T1U_N9_GC_20               | 0          | GCLK          |                 |      20 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN45       |                            | High Performance | IO_L9P_T1L_N4_AD12P_20             | 0          | User IO       |                 |      20 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN46       |                            | High Performance | IO_L7P_T1L_N0_QBC_AD13P_20         | 0          | User IO       |                 |      20 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN47       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BN48       |                            | High Performance | IO_L3N_T0L_N5_AD15N_20             | 0          | User IO       |                 |      20 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN49       |                            | High Performance | IO_L2N_T0L_N3_20                   | 0          | User IO       |                 |      20 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN50       |                            | High Performance | IO_L7P_T1L_N0_QBC_AD13P_23         | 0          | User IO       |                 |      23 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN51       |                            | High Performance | IO_L7N_T1L_N1_QBC_AD13N_23         | 0          | User IO       |                 |      23 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN52       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BN53       |                            | High Performance | IO_L11P_T1U_N8_GC_23               | 0          | GCLK          |                 |      23 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN54       |                            | High Performance | IO_L11N_T1U_N9_GC_23               | 0          | GCLK          |                 |      23 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN55       |                            | High Performance | IO_L13P_T2L_N0_GC_QBC_23           | 0          | GCLK          |                 |      23 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN56       |                            | High Performance | IO_L14P_T2L_N2_GC_23               | 0          | GCLK          |                 |      23 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN57       |                            | High Performance | VCCO_23                            |            | VCCO          |                 |      23 |            |                         |      |                   |                      | 0.00-1.80 |            |           |          |          |                  |              |                   |              |
| BN58       |                            | High Performance | IO_L18N_T2U_N11_AD2N_23            | 0          | User IO       |                 |      23 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN59       |                            | High Performance | IO_L19P_T3L_N0_DBC_AD9P_22         | 0          | User IO       |                 |      22 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN60       |                            | High Performance | IO_L19N_T3L_N1_DBC_AD9N_22         | 0          | User IO       |                 |      22 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN61       |                            | High Performance | IO_L17P_T2U_N8_AD10P_22            | 0          | User IO       |                 |      22 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BN62       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BN63       |                            | High Performance | IO_T2U_N12_22                      | 0          | User IO       |                 |      22 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP1        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BP2        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BP3        |                            |                  | MGTYRXN2_221                       | 0          | Gigabit       |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP4        |                            |                  | MGTYRXP2_221                       | 0          | Gigabit       |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP5        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BP6        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BP7        |                            |                  | MGTAVTT_RS                         |            | Gigabit Power |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP8        |                            |                  | MGTYTXN0_222                       | 0          | Gigabit       |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP9        |                            |                  | MGTYTXP0_222                       | 0          | Gigabit       |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP10       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BP11       |                            |                  | MGTAVCC_RS                         |            | Gigabit Power |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP12       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BP13       | pin_BP13                   | High Performance | IO_L10P_T1U_N6_QBC_AD4P_60         | 0          | OUTPUT        | DIFF_POD12_DCI  |      60 |            |                      40 | FAST |                   |           FP_VCCO_50 |           | FIXED      |           |          |          | SINGLE           | RDRV_240     |                   | EQ_NONE      |
| BP14       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BP15       | cpm_s_HSTDM_4_FB1_C2_C_1   | High Performance | IO_L12N_T1U_N11_GC_60              | 0          | OUTPUT        | POD12_DCI       |      60 |            |                      40 | FAST |                   |           FP_VCCO_50 |           | FIXED      |           |          |          | SINGLE           | RDRV_240     |                   | EQ_NONE      |
| BP16       | cpm_s_HSTDM_4_FB1_C2_C_0   | High Performance | IO_L12P_T1U_N10_GC_60              | 0          | OUTPUT        | POD12_DCI       |      60 |            |                      40 | FAST |                   |           FP_VCCO_50 |           | FIXED      |           |          |          | SINGLE           | RDRV_240     |                   | EQ_NONE      |
| BP17       | WRITEDATAWB[55]            | High Performance | IO_L7P_T1L_N0_QBC_AD13P_60         | 0          | INPUT         | POD12_DCI       |      60 |            |                         |      |            60 Ohm |                 NONE |           | FIXED      |           |          | Internal | SINGLE           | RDRV_NONE    |                   | EQ_NONE      |
| BP18       |                            | High Performance | IO_L8N_T1L_N3_AD5N_60              | 0          | User IO       |                 |      60 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP19       |                            | High Performance | VCCO_61                            |            | VCCO          |                 |      61 |            |                         |      |                   |                      | 0.00-1.80 |            |           |          |          |                  |              |                   |              |
| BP20       |                            | High Performance | IO_T0U_N12_VRP_61                  | 0          | User IO       |                 |      61 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP21       |                            | High Performance | IO_L2N_T0L_N3_61                   | 0          | User IO       |                 |      61 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP22       |                            | High Performance | IO_L2P_T0L_N2_61                   | 0          | User IO       |                 |      61 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP23       |                            | High Performance | IO_L8N_T1L_N3_AD5N_61              | 0          | User IO       |                 |      61 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP24       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BP25       |                            | High Performance | IO_L9N_T1L_N5_AD12N_62             | 0          | User IO       |                 |      62 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP26       |                            | High Performance | IO_L12N_T1U_N11_GC_62              | 0          | GCLK          |                 |      62 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP27       |                            | High Performance | IO_T1U_N12_62                      | 0          | User IO       |                 |      62 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP28       |                            | High Performance | IO_T0U_N12_VRP_62                  | 0          | User IO       |                 |      62 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP29       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BP30       |                            | High Performance | IO_L7N_T1L_N1_QBC_AD13N_64         | 1          | User IO       |                 |      64 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP31       |                            | High Performance | IO_L7P_T1L_N0_QBC_AD13P_64         | 1          | User IO       |                 |      64 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP32       |                            | High Performance | IO_T1U_N12_64                      | 1          | User IO       |                 |      64 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP33       |                            | High Performance | IO_T0U_N12_VRP_64                  | 1          | User IO       |                 |      64 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP34       |                            | High Performance | VCCO_64                            |            | VCCO          |                 |      64 |            |                         |      |                   |                      | 0.00-1.80 |            |           |          |          |                  |              |                   |              |
| BP35       |                            | High Performance | IO_L8P_T1L_N2_AD5P_66              | 1          | User IO       |                 |      66 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP36       |                            | High Performance | IO_L8N_T1L_N3_AD5N_66              | 1          | User IO       |                 |      66 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP37       |                            | High Performance | IO_L10P_T1U_N6_QBC_AD4P_66         | 1          | User IO       |                 |      66 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP38       |                            | High Performance | IO_L10N_T1U_N7_QBC_AD4N_66         | 1          | User IO       |                 |      66 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP39       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BP40       |                            | High Performance | IO_L17N_T2U_N9_AD10N_66            | 1          | User IO       |                 |      66 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP41       |                            | High Performance | IO_L16N_T2U_N7_QBC_AD3N_66         | 1          | User IO       |                 |      66 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP42       |                            | High Performance | IO_L10P_T1U_N6_QBC_AD4P_20         | 0          | User IO       |                 |      20 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP43       |                            | High Performance | IO_L10N_T1U_N7_QBC_AD4N_20         | 0          | User IO       |                 |      20 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP44       |                            | High Performance | VCCO_20                            |            | VCCO          |                 |      20 |            |                         |      |                   |                      |      1.80 |            |           |          |          |                  |              |                   |              |
| BP45       |                            | High Performance | IO_L9N_T1L_N5_AD12N_20             | 0          | User IO       |                 |      20 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP46       |                            | High Performance | IO_L7N_T1L_N1_QBC_AD13N_20         | 0          | User IO       |                 |      20 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP47       |                            | High Performance | IO_L1P_T0L_N0_DBC_20               | 0          | User IO       |                 |      20 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP48       |                            | High Performance | IO_L1N_T0L_N1_DBC_20               | 0          | User IO       |                 |      20 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP49       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BP50       |                            | High Performance | IO_L10P_T1U_N6_QBC_AD4P_23         | 0          | User IO       |                 |      23 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP51       |                            | High Performance | IO_T1U_N12_23                      | 0          | User IO       |                 |      23 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP52       |                            | High Performance | IO_L12P_T1U_N10_GC_23              | 0          | GCLK          |                 |      23 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP53       |                            | High Performance | IO_L12N_T1U_N11_GC_23              | 0          | GCLK          |                 |      23 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP54       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BP55       |                            | High Performance | IO_L13N_T2L_N1_GC_QBC_23           | 0          | GCLK          |                 |      23 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP56       |                            | High Performance | IO_L14N_T2L_N3_GC_23               | 0          | GCLK          |                 |      23 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP57       |                            | High Performance | IO_L16P_T2U_N6_QBC_AD3P_23         | 0          | User IO       |                 |      23 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP58       |                            | High Performance | IO_L16N_T2U_N7_QBC_AD3N_23         | 0          | User IO       |                 |      23 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP59       |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BP60       |                            | High Performance | IO_L13P_T2L_N0_GC_QBC_22           | 0          | GCLK          |                 |      22 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP61       |                            | High Performance | IO_L17N_T2U_N9_AD10N_22            | 0          | User IO       |                 |      22 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP62       |                            | High Performance | IO_L15P_T2L_N4_AD11P_22            | 0          | User IO       |                 |      22 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BP63       |                            | High Performance | IO_L15N_T2L_N5_AD11N_22            | 0          | User IO       |                 |      22 |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BR1        |                            |                  | MGTYRXN1_221                       | 0          | Gigabit       |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BR2        |                            |                  | MGTYRXP1_221                       | 0          | Gigabit       |                 |         |            |                         |      |                   |                      |           |            |           |          |          |                  |              |                   |              |
| BR3        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BR4        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
| BR5        |                            |                  | GND                                |            | GND           |                 |         |            |                         |      |                   |                      |       0.0 |            |           |          |          |                  |              |                   |              |
